Date,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,6.45100,6.49400,-12.94500,2.73000,-10.21500,-10.21500,-10.21500,-10.21500,-14.29400,-12.94500,27.17200,27.17200,-0.38000,-0.38000,28.62570,-4.74500,-4.74500,-4.56010,-4.74500,7.83380,-0.3001,-0.3067
2024-06-30,6.94500,7.40700,-14.35200,4.09800,-10.25400,-10.25400,-10.25400,-10.25400,-15.29300,-14.35200,25.60900,25.60900,-0.40000,-0.40000,23.22610,-5.31510,-5.31510,-5.06020,-5.31510,7.46430,3.522,3.5168
2024-03-31,10.53700,5.55100,-16.08800,-0.56000,-16.64800,-16.64800,-16.64800,-16.64800,-16.35800,-16.08800,4.71800,4.71800,-3.53000,-3.53000,11.47150,-8.40100,-8.40100,-7.66050,-8.40100,7.77130,-5.07350,-5.07350
2023-12-31,-7.83100,33.50100,-87.75100,9.37600,-78.37500,-78.37500,-78.37500,-78.37500,-83.26600,-87.75100,8.14740,8.14740,8.32460,8.32460,3.63210,84.53600,84.53600,-111.36610,84.53600,-47.08580,9.0394,7.9559
2023-09-30,17.00400,2.86100,-19.86500,0.98500,-18.88000,-18.88000,-18.88000,-18.88000,-20.38800,-19.86500,1.96200,1.96200,-9.62000,-9.62000,19.04630,-9.25400,-9.25400,-7.09170,-9.25400,24.62750,-6.6296,-6.6295
2023-06-30,12.63900,2.32000,-14.95900,0.23300,-14.72600,-14.72600,-14.72600,-14.72600,-14.97400,-14.95900,1.95600,1.95600,-7.53000,-7.53000,20.47030,-6.56980,-6.56980,-5.13020,-6.56980,27.04910,-6.8974,-6.9096
2023-03-31,10.32500,2.29100,-12.61600,-0.05400,-12.67000,-12.67000,-12.67000,-12.67000,-12.61300,-12.61600,1.95100,1.95100,-6.50000,-6.50000,18.84860,-4.58690,-4.58690,-4.08710,-4.58690,33.21570,-6.55970,-6.56280
2022-12-31,18.46200,8.28900,-26.75100,2.15200,-24.59900,-24.59900,-24.59900,-24.59900,-27.19000,-26.75100,7.84150,7.84150,-3.00910,-3.00910,21.11210,-8.30230,-8.30230,-7.64180,-8.30230,35.61220,-2.9106,-3.045
2022-09-30,18.30200,7.85200,-26.15400,1.47200,-24.68200,-24.68200,-24.68200,-24.68200,-26.06400,-26.15400,7.88890,7.88890,-3.14910,-3.14910,22.07130,-7.79960,-7.79960,-7.37120,-7.79960,38.08330,-2.7525,-2.8617
2022-06-30,17.77700,8.99900,-26.77600,0.84000,-25.93600,-25.93600,-25.93600,-25.93600,-26.16000,-26.77600,7.79850,7.79850,-3.35900,-3.35900,27.06700,-7.66300,-7.66300,-7.33100,-7.66300,40.68790,-2.8044,-2.9776
2022-03-31,18.24600,7.71200,-25.95800,0.12300,-25.83500,-25.83500,-25.83500,-25.83500,-25.47300,-25.95800,7.71730,7.71730,-3.35900,-3.35900,26.92960,-7.15060,-7.15060,-6.82370,-7.15060,43.58370,-2.75230,-3.17640
2021-12-31,11.20500,7.73500,-18.94000,0.01000,-18.93000,-18.93000,-18.93000,-18.93000,-18.61000,-18.94000,4.13250,4.13250,49.19520,49.19520,31.43670,-4.92900,-4.92900,-4.70910,-4.92900,46.32820,-7.8483,-8.6062
2021-09-30,8.68300,5.91900,-14.60200,0.01000,-14.59200,-14.59200,-14.59200,-14.59200,-14.40400,-14.60200,7.54080,7.54080,-1.95940,-1.95940,35.59520,-3.64680,-3.64680,-3.50640,-3.64680,48.21160,25.1086,26.0223
2021-06-30,12.66700,4.86600,-17.53300,0.00400,-17.52900,-17.52900,-17.52900,-17.52900,-17.41700,-17.53300,0.72690,0.72690,-24.14280,-24.14280,48.96310,-4.62280,-4.62280,-4.52820,-4.62280,47.40160,-13.5815,-14.3908
2021-03-31,5.37700,3.99100,-9.36800,-10.34100,-19.70900,-19.70900,-19.70900,-19.70900,-9.27800,-9.36800,0.48940,0.48940,-40.23790,-40.23790,,,,,,,-16.46810,-17.20360
2020-12-31,,,,,,,,,,,,,,0.00000,,,,,,,7.1386,9.0691
2020-09-30,2.31000,1.45400,-3.76400,0.38000,-3.38400,-3.38400,-3.38400,-3.38400,-3.72000,-3.76400,0.48330,0.48330,-6.99790,-6.99790,,,,,,,-4.2631,-5.0548
2020-06-30,0.42300,0.86900,-1.29200,-0.02000,-1.31200,-1.31200,-1.31200,-1.31200,-1.29200,-1.29200,0.33280,0.33280,-3.91880,-3.91880,,,,,,,-2.8755,-4.0143
2019-12-31,,,,,,,,,,,,,,0.00000,,,,,,,0,0
