Date,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-06-30,,,,,,,,,,,,,0.00000,,,,,,,,,
2023-12-31,,,,,,,,,,,,,0.00000,,,,,,,,0.3014,0.3014
2023-03-31,0.25710,-0.25710,0.17440,-0.08270,-0.08270,-0.08270,-0.08270,-0.25710,-0.25710,1.81630,1.81630,-0.12000,-0.12000,0.00580,-0.34940,1.92800,1.92800,-0.44000,1.92800,-2.36250,-0.30140,-0.30140
2022-12-31,,-0.28850,,0.22470,0.22470,,-0.05560,,,1.81600,1.81600,-0.03000,-0.03000,,,,,,,,-0.1257,-0.1257
2022-09-30,0.22250,-0.22250,0.90890,0.68640,0.68640,0.68640,0.68640,-0.22250,-0.22250,1.81630,1.81630,-0.02000,-0.02000,0.02740,-0.33980,-20.28120,-20.28120,1.15110,-20.28120,-1.86360,-0.0675,-0.0675
2022-06-30,,,,,,,,,,,,,0.00000,,,,,,,,0.3293,0.3293
2022-03-31,0.30730,-0.30730,-0.09610,-0.40340,-0.40340,-0.40340,-0.40340,-0.30730,-0.30730,1.81630,1.81630,-0.13000,-0.13000,0.21020,-0.16770,11.76630,11.76630,-0.69250,11.76630,-1.88800,-0.32930,-0.32930
2021-12-31,,-0.25640,,-0.23130,-0.23130,,-0.05550,,,1.81600,1.81600,-0.03000,-0.03000,2.43460,,,,,,-1.34000,-0.1121,-0.1121
2021-09-30,0.26930,-0.26930,0.01190,-0.25730,-0.25730,-0.25730,-0.25730,-0.26930,-0.26930,1.81630,1.81630,-0.03000,-0.03000,3.80170,,11.67230,11.67230,-0.44190,11.67230,-1.21400,-0.064,-0.064
2021-06-30,,,,,,,,,,,,,0.00000,,,,,,,,0.2791,0.2791
2021-03-31,0.20100,-0.20100,-0.01000,-0.21100,-0.21100,-0.21100,-0.21100,-0.20100,-0.20100,1.55530,1.55530,-0.65000,-0.65000,3920.74900,,-4.22040,-4.22040,-0.35930,-4.22040,1.56840,-0.27910,-0.27910
2020-12-31,0.10040,-0.10040,,-0.10040,-0.10040,-0.10040,-0.10040,-0.10040,-0.10040,1.43750,1.43750,-0.06990,-0.06990,,,,,,,,-0.0699,-0.0699
2020-09-30,0.13120,-0.13120,,-0.13120,-0.13120,-0.13120,-0.13120,-0.13120,-0.13120,1.43750,1.43750,-0.09000,-0.09000,,,,,,,,-0.1391,-0.1391
