Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.00380,,0.00380,0.01150,0.52140,,,-0.52900,0.00010,-0.52900,-0.52900,-0.52900,-0.52900,-0.52900,-0.52900,2.50600,2.50600,-0.22000,-0.22000,46.12530,,,100.00000,-13748.02000,-13748.02000,-13746.13000,-13746.13000,0.00310,,,-43.49960,-43.49960,-42.55650,-43.49960,0.48520,-0.1885,-0.1885
2024-06-30,0.02690,0.01620,0.01070,0.06720,1.44320,,1.51040,-1.49970,-0.00010,-1.49970,-1.49970,-1.49970,-1.49970,-1.49970,-1.49970,2.50600,2.50600,-0.54000,-0.54000,55.55520,,,39.74460,-5567.31600,-5567.31600,-5567.59100,-5567.59100,0.01470,2.62800,34.24660,-83.42270,-83.42260,-81.92170,-83.42260,0.71740,-0.7927,-0.7927
2024-03-31,0.02650,0.02400,0.00250,0.03940,1.46450,,1.50390,-1.50140,0.00020,-1.50170,-1.50170,-1.50170,-1.50170,-1.50140,-1.50140,2.50600,2.50600,-0.53000,-0.53000,18.68830,,,9.27060,-5665.15500,-5665.15500,-5666.08600,-5666.08600,0.00790,2.09440,42.97100,-47.27720,-47.27730,-44.75480,-47.27730,1.26750,-0.71690,-0.71690
2023-12-31,0.03420,0.02360,0.01060,0.05030,1.31690,,1.36720,-1.35660,-3.98220,-5.33880,-5.33880,-5.33880,-5.33880,3.15290,-1.35660,1.00690,1.00690,-3.12000,-3.12000,15.14170,,,31.11400,-3964.82600,-3964.82600,-15603.30000,-15603.30000,0.00700,1.87770,47.93020,-117.16060,-117.16070,-109.43990,-117.16070,1.81840,1.018,1.0156
2023-09-30,0.02300,0.02360,-0.00060,0.27210,1.61720,,1.88920,-1.88990,0.35410,-1.53580,-1.53580,-1.53580,-1.53580,-1.44820,-1.88990,0.67000,0.67000,-1.99000,-1.99000,1.23360,,0.31960,-2.70150,-8234.82300,-8234.82300,-6691.88200,-6691.88200,0.00300,0.78370,114.84710,-27.39710,-300.29420,-19.96020,-27.39710,8.37060,-1.2485,-1.2485
2023-06-30,0.05610,0.02360,0.03250,0.71770,1.62550,,2.34310,-2.31070,,-2.31070,-2.31070,-2.31070,-2.31070,-1.58530,-2.31070,0.66900,0.66900,-3.05000,-3.05000,1.59200,,0.27630,57.95050,-4122.26800,-4122.26800,-4122.26800,-4122.26800,0.00590,2.62100,34.33790,-32.17260,-156.01290,-24.40210,-32.17260,10.72450,-0.8685,-0.8631
2023-03-31,0.15800,0.03240,0.12560,0.06710,1.38530,,1.45240,-1.32690,,-1.32690,-1.32690,-1.32690,-1.32690,-0.56690,-1.32690,0.51500,0.51500,-2.28000,-2.28000,1.94550,,0.28060,79.51440,-840.06900,-840.06900,-840.06900,-840.06900,0.01280,4.56940,19.69630,-14.14150,-44.20910,-10.76920,-14.14150,14.01200,-4.38410,-4.38220
2022-12-31,0.21760,,0.21760,,5.18190,,,-3.57720,-8.80440,-12.38160,-12.38160,-12.38160,-13.15510,6.26080,-3.57720,0.11650,0.11650,-99.45000,-99.45000,0.44000,,0.57740,-183.56510,-1643.88300,-1643.88300,-5689.94900,-6045.41900,0.02700,3.58200,25.12550,-261.54040,746.20230,-153.64310,-261.54050,18.15490,-7.8182,-7.7611
2022-09-30,0.31680,,0.31680,,2.21640,-0.69340,,-3.29700,-0.21310,-3.51010,-3.51010,-3.51010,-3.51010,-2.59300,-3.29700,0.09990,0.09990,-28.64000,-28.64000,0.40490,0.00070,0.19550,100.00000,-1040.64200,-1040.64200,-1107.91100,-1107.91100,0.01790,3.68150,24.44650,-24.82130,193.73210,-19.78460,-24.80340,136.30250,-8.1145,-8.31
2022-06-30,0.25070,,0.25070,,2.23500,-0.78430,,-3.46460,0.23840,-3.22610,-3.22610,-3.22610,-3.22610,-2.76870,-3.46460,0.08630,0.08630,-31.20000,-31.20000,0.85360,0.03990,0.19450,100.00000,-1382.17700,-1382.17700,-1287.05400,-1287.05400,0.01330,6.60330,13.62960,-21.11120,470.06630,-17.12050,-20.26860,176.62950,-30.6095,-30.5918
2022-03-31,0.32380,,0.32380,,2.20480,-0.82040,,-3.41370,0.05820,-3.35540,-3.35540,-3.35540,-2.58190,-2.70150,-3.41370,0.07950,0.07950,-33.60000,-33.60000,1.81570,0.03770,0.17110,100.00000,-1054.39200,-1054.39200,-1036.40300,-797.48330,0.01450,4.55820,19.74460,-18.50560,-149.85210,-15.07090,-17.80780,210.15020,-32.02900,-32.25350
2021-12-31,0.39330,,0.39330,,2.28230,-0.67450,,-3.18580,0.68420,-2.50160,-2.50160,-2.50160,-3.96320,-2.53710,-3.18580,0.05960,0.05960,36.02570,36.02570,0.69810,0.05450,0.22520,100.00000,-810.08840,-810.08860,-636.10570,-1007.76300,0.02120,3.18130,28.29000,-17.86510,142.90740,-13.49030,-16.89150,216.04890,-30.4841,-31.0843
2021-09-30,0.30470,,0.30470,,2.58630,-0.79070,,-3.68470,2.10680,-1.57800,-1.57800,-1.57800,-1.57800,-3.07230,-3.68470,0.06310,0.06310,-9.12000,-9.12000,1.68210,0.07420,0.20410,100.00000,-1209.36600,-1209.36600,-517.89890,-517.89890,0.01450,3.36300,26.76220,-10.13070,2007.60300,-7.50570,-9.37930,240.21850,-35.2477,-35.898
2021-06-30,0.07040,,0.07040,,2.34410,-1.76320,,-4.71840,2.33190,-2.38640,-2.38640,-2.38640,-1.12570,-4.03530,-4.71840,0.05770,0.05770,-19.19040,-19.19040,1.90680,0.07060,0.19330,100.00000,-6705.67600,-6705.67600,-3391.57300,-1599.83000,0.00310,0.82670,108.87250,-13.28630,-99.01370,-10.40100,-12.34770,287.35950,-80.9739,-80.9739
2021-03-31,0.00030,,0.00030,,1.57280,-0.68160,,-2.65250,-8.72940,-11.38190,-11.38190,-11.38190,-11.18100,-2.25130,-2.65250,0.04470,0.04470,-249.47530,-249.47530,4.88140,0.17850,0.36230,,,,,,0.00000,0.00400,22753.24000,-120.75710,-148.25740,-82.23550,-99.20220,172.65960,-69.75960,-69.75960
2020-12-31,0.19020,,0.19020,,,,,0.19020,,-6.33040,-6.33040,-3.01240,-3.20980,0.48470,-5.66040,0.04050,0.04050,-110.34480,-110.34480,0.79920,1.74330,-4.54150,100.00000,100.00000,-2975.29900,-3327.44400,-1687.14000,0.03460,0.40920,219.91600,264.62680,104.75110,-54.85900,-196.69380,-21.81570,-39.9414,-39.9414
2020-09-30,0.56380,,0.56380,,0.76960,-0.44330,,-0.95860,-0.25810,-1.21660,-1.21660,-1.21660,-1.01930,-0.95860,-0.95860,0.03900,0.03900,-26.38680,-26.38680,0.01480,-3.60150,-1.25160,100.00000,-170.03020,-170.03020,-215.80520,-180.79890,0.22650,34.53000,2.60640,28.42010,20.00440,-48.87930,130.77660,-109.46690,-64.5673,-64.5673
2020-06-30,0.44200,,0.44200,,,,,0.44200,,0.44200,0.44200,-1.40200,-1.40200,0.44200,0.44200,0.61120,0.61120,-2.39880,-2.39880,,,,100.00000,100.00000,100.00000,100.00000,-317.19450,,,,,,,,,0,0
2020-03-31,0.19400,,0.19400,,,,,0.19400,,0.19400,0.19400,-1.28000,-1.28000,0.19400,0.19400,0.58530,0.58530,-2.39880,-2.39880,,,,100.00000,100.00000,100.00000,100.00000,-659.79380,,,,,,,,,0.00000,
2019-12-31,0.00800,,0.00800,,,,,0.00800,,0.00800,0.00800,-2.23600,-2.23600,0.00800,0.00800,0.48590,0.48590,-4.79760,-4.79760,0.13150,2.04850,-2.06800,100.00000,100.00000,100.00000,100.00000,-27950.00000,0.00260,0.23880,376.87500,103.37480,52.51290,-73.40780,-108.38590,,-8.4812,-8.4812
