,Announcement Date,Fiscal Quarter End,Estimated EPS,Actual EPS
0,2025-03-04,2024-12-31,$-0.25,$-2.20
1,2024-11-05,2024-09-30,$-0.16,$-0.44
2,2024-08-06,2024-06-30,$-0.19,$-0.30
3,2024-05-14,2024-03-31,$-0.24,$-0.23
4,2024-03-04,2023-12-31,$-0.22,$-0.16
5,2023-11-06,2023-09-30,$-0.29,$-0.05
6,2023-08-14,2023-06-30,$-0.35,$-0.60
7,2023-05-09,2023-03-31,$-0.54,$-0.82
8,2023-02-28,2022-12-31,$-0.61,$-0.68
9,2022-11-07,2022-09-30,$-0.75,$-1.12
10,2022-08-02,2022-06-30,$-0.65,$-1.01
11,2022-05-10,2022-03-31,$-0.55,$-0.85
12,2022-02-25,2021-12-31,$-0.47,$-0.57
13,2021-11-10,2021-09-30,$-0.44,$-0.34
14,2021-08-11,2021-06-30,$-0.17,$-0.46
15,2021-05-12,2021-03-31,$-0.17,$-0.42
16,2021-02-25,2020-12-31,$-0.16,$-7.04
